round,dataset,scenario,method_or_configuration,seed,metric,value,status,comparison_class,paper_role,source_file,source_row_or_key,source_sha256,scientific_status,notes
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,RMSE_mu,7.670587132314116,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,Tail_RMSE,8.395751434932093,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,Delta_group,0.17159960093116064,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,Delta_c_s,0.604553937994349,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28003,RMSE_rho,7.077576562648537,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28003_20260803_101150_588783,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28003,RMSE_mu,7.688313697037237,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28003_20260803_101059_467894,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28003,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28003_20260803_101059_467894,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28003,Tail_RMSE,8.413856318120445,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28003_20260803_101059_467894,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28003,Delta_group,0.1715996009311607,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28003_20260803_101059_467894,,VALID,
