dataset,seed,configuration,component,metric,full_RAVEN,ablation,absolute_change,relative_change_percent,status
SensorScope,30020,RAVEN-w/o-Inst,Inst,RMSE_mu,7.960076276049351,7.957803357241996,-0.00227291880735514,-0.028553982757602507,VALID
SensorScope,30020,RAVEN-w/o-Inst,Inst,Tail_RMSE,8.483202277351184,8.480880088255041,-0.0023221890961426794,-0.02737396822827812,VALID
SensorScope,30020,RAVEN-w/o-Debt,Debt,Delta_group,1.0871103525482646,1.0872364501209062,0.0001260975726415925,0.011599335094731713,VALID
SensorScope,30020,RAVEN-w/o-Debt,Debt,Delta_c_s,1.3378294819705725,1.3379067337922614,7.725182168893951e-05,0.005774414656728187,VALID
SensorScope,30020,RAVEN-w/o-Debt,Debt,RMSE_mu,7.960076276049351,7.960065298809859,-1.0977239492504509e-05,-0.0001379036972991495,VALID
SensorScope,30020,RAVEN-w/o-Debt,Debt,Tail_RMSE,8.483202277351184,8.483191129259987,-1.1148091196844234e-05,-0.00013141371421270816,VALID
U-Air,30001,RAVEN-w/o-Design,Design,Delta_group,1.0832400542605098,1.0198421730673761,-0.06339788119313372,-5.8526160423797515,VALID
U-Air,30001,RAVEN-w/o-Design,Design,Delta_c_s,1.210200108193248,1.3070991212626155,0.09689901306936743,8.006858734629557,VALID
U-Air,30001,RAVEN-w/o-Design,Design,RMSE_mu,1.201716880706229,1.1607430909655934,-0.0409737897406357,-3.4096042419372594,VALID
U-Air,30001,RAVEN-w/o-Design,Design,Tail_RMSE,1.2102316408991802,1.1670607636188992,-0.04317087728028102,-3.5671582052015953,VALID
U-Air,30001,RAVEN-w/o-Obs,Obs,Delta_group,1.0832400542605098,1.0853506674829496,0.0021106132224397722,0.19484261259897873,VALID
U-Air,30001,RAVEN-w/o-Obs,Obs,Delta_c_s,1.210200108193248,1.2101138799135445,-8.622827970361513e-05,-0.007125125763899366,VALID
U-Air,30001,RAVEN-w/o-Obs,Obs,RMSE_mu,1.201716880706229,1.2017966709001486,7.97901939195711e-05,0.006639683206636802,VALID
U-Air,30001,RAVEN-w/o-Obs,Obs,Tail_RMSE,1.2102316408991802,1.21032143658671,8.979568752987e-05,0.007419710780586881,VALID
U-Air,30001,RAVEN-w/o-Use,Use,Delta_group,1.0832400542605098,1.086315353354665,0.0030752990941551595,0.28389820724036635,VALID
U-Air,30001,RAVEN-w/o-Use,Use,Delta_c_s,1.210200108193248,1.215213084284124,0.00501297609087592,0.4142270403826005,VALID
U-Air,30001,RAVEN-w/o-Use,Use,RMSE_mu,1.201716880706229,1.202191739814781,0.00047485910855193936,0.03951505684707304,VALID
U-Air,30001,RAVEN-w/o-Use,Use,Tail_RMSE,1.2102316408991802,1.2107441223768214,0.0005124814776411579,0.04234573451247675,VALID
